Lane,Vehicle Count,Timestamp
north,8,2025-06-16 09:57:30
south,9,2025-06-16 09:57:31
east,29,2025-06-16 13:33:57
west,27,2025-06-16 13:34:01
north,21,2025-06-16 13:34:02
south,14,2025-06-16 13:34:04
east,30,2025-06-16 13:57:27
west,33,2025-06-16 13:57:31
north,8,2025-06-16 13:57:33
south,10,2025-06-16 13:57:35
east,28,2025-06-16 21:27:00
west,19,2025-06-16 21:27:00
north,17,2025-06-16 21:27:01
south,11,2025-06-16 21:27:01
